食物,热量 (kcal),蛋白质 (g),脂肪 (g),碳水化合物 (g)
黄豆,100,36.0,0.6,30.1
小麦粉,300,12.0,1.4,61.5
鸡肉,104,23.3,1.2,0.0
豆油,900,0.0,100.0,0.0
鸡蛋,150,13.0,10.3,1.1
火腿肠,400,12.0,32.0,1.5
猪肉,335,16.9,29.2,1.1
白菜,19,1.4,0.3,3.0
葡萄,41,0.2,0.0,10.0
稻米,350,7.0,0.5,76.0
油菜,25,2.0,0.1,4.0
香菇,384,13.0,1.8,54.0
蒜台,40,3.4,0.1,8.5
茄汁沙丁鱼,120,14.0,6.0,4.0
苹果,60,0.2,0.6,15.0
小米,330,8.0,1.5,72.0
海带,262,8.2,0.1,57.0
芝麻油,920,0.0,100.0,0.0
木耳,304,10.6,0.2,65.0
茄子,22,1.1,0.1,4.0
土豆,126,1.9,0.7,28.0
青椒,20,1.1,0.1,4.0
五花猪肉,600,12.0,60.0,0.0
干豆腐,100,8.0,4.5,7.0
玉米面,320,7.6,3.5,72.0
酸菜,10,0.5,0.1,2.0
炸鸡块,700,25.0,50.0,40.0
